time,x,y
0.002438,6.72381,9.35631
0.002438,6.72306,9.356
0.002438,6.72383,9.35406
0.002438,6.72316,9.35463
0.002438,6.72155,9.35653
0.002438,6.72233,9.35456
0.002438,6.72184,9.35353
0.002438,6.72138,9.35466
0.002438,6.72188,9.35294
0.002438,6.72106,9.35334
0.002438,6.72125,9.35388
0.002438,6.72036,9.3545
0.002438,6.72072,9.35153
0.002438,6.72008,9.35294
0.002438,6.72017,9.35244
0.002438,6.71966,9.35266
0.002438,6.71934,9.35334
0.002438,6.71828,9.35328
0.002438,6.71931,9.35187
0.002438,6.71861,9.35019
0.002438,6.71836,9.35253
0.002438,6.71816,9.35084
0.002438,6.71733,9.34981
0.002438,6.71713,9.35106
0.002438,6.71611,9.35056
0.002439,6.71666,9.35025
0.002439,6.71633,9.35112
0.002439,6.71666,9.35059
0.002439,6.7162,9.3515
0.002439,6.71542,9.35028
0.002439,6.71438,9.34869
0.002439,6.71427,9.34925
0.002439,6.71377,9.35056
0.002439,6.71409,9.35147
0.002439,6.71392,9.34978
0.002439,6.71314,9.34916
0.002439,6.71439,9.34709
0.002439,6.71347,9.3475
0.002439,6.71411,9.34931
0.002439,6.71319,9.34884
0.002439,6.71319,9.34834
0.002439,6.71175,9.34697
0.002439,6.71231,9.34909
0.002439,6.7113,9.34728
0.002439,6.7118,9.34656
0.002439,6.71078,9.34669
0.002439,6.71105,9.34744
0.002439,6.71138,9.34734
0.002439,6.71,9.34781
0.002439,6.70894,9.34709
0.00244,6.70984,9.34622
0.00244,6.70934,9.34681
0.00244,6.71014,9.34603
0.00244,6.7085,9.34347
0.00244,6.70855,9.34591
0.00244,6.70978,9.34441
0.00244,6.70925,9.34641
0.00244,6.70816,9.34638
0.00244,6.70873,9.34575
0.00244,6.70819,9.34622
0.00244,6.70756,9.34372
0.00244,6.70625,9.34413
0.00244,6.7072,9.34469
0.00244,6.70711,9.34353
0.00244,6.70473,9.343
0.00244,6.70591,9.34462
0.00244,6.70628,9.344
0.00244,6.70556,9.34262
0.00244,6.70555,9.34409
0.00244,6.70536,9.34184
0.00244,6.70402,9.34437
0.00244,6.70517,9.34156
0.00244,6.70388,9.34297
0.00244,6.70375,9.34125
0.00244,6.70434,9.34322
0.002441,6.7045,9.34275
0.002441,6.70414,9.34331
0.002441,6.70322,9.34278
0.002441,6.70334,9.34309
0.002441,6.70183,9.34206
0.002441,6.70175,9.34191
0.002441,6.70186,9.34259
0.002441,6.70141,9.34144
0.002441,6.70069,9.34103
0.002441,6.70128,9.33881
0.002441,6.70163,9.34047
0.002441,6.70028,9.34059
0.002441,6.70058,9.34131
0.002441,6.70081,9.34025
0.002441,6.69998,9.34031
0.002441,6.7002,9.33853
0.002441,6.6992,9.33916
0.002441,6.70017,9.34016
0.002441,6.69888,9.33894
0.002441,6.6988,9.33816
0.002441,6.69872,9.33997
0.002441,6.69895,9.33941
0.002441,6.69833,9.33922
0.002441,6.69791,9.33772
0.002441,6.69692,9.33875
0.002442,6.69638,9.337
0.002442,6.69708,9.33681
0.002442,6.69695,9.33781
0.002442,6.69573,9.3385
0.002442,6.69517,9.33563
0.002442,6.69586,9.33656
0.002442,6.69556,9.33687
0.002442,6.69578,9.33691
0.002442,6.69527,9.33744
0.002442,6.69481,9.33575
0.002442,6.69467,9.33575
0.002442,6.69494,9.3355
0.002442,6.69416,9.33472
0.002442,6.69397,9.33569
0.002442,6.69341,9.33553
0.002442,6.69289,9.336
0.002442,6.69253,9.33428
0.002442,6.69256,9.33369
0.002442,6.6925,9.33294
0.002442,6.69173,9.33419
0.002442,6.69145,9.33406
0.002442,6.69259,9.33316
0.002442,6.69069,9.33203
0.002442,6.69117,9.33456
0.002442,6.69028,9.33406
0.002443,6.69053,9.33309
0.002443,6.69003,9.33375
0.002443,6.69042,9.33275
0.002443,6.68928,9.33366
0.002443,6.69011,9.33291
0.002443,6.6893,9.33209
0.002443,6.68955,9.33269
0.002443,6.6885,9.33162
0.002443,6.68888,9.33206
0.002443,6.68723,9.33366
0.002443,6.68784,9.3325
0.002443,6.68697,9.33141
0.002443,6.6875,9.32987
0.002443,6.68733,9.33103
0.002443,6.68616,9.32997
