time,col0,col1,col2,col3,col4
0.002594,6.7206,6.7526,6.7206,6.6646,6.6566
0.002595,6.7126,6.7526,6.6966,6.6486,6.6566
0.0025960000000000002,6.7206,6.7606,6.6966,6.6726,6.6646
0.0025969999999999995,6.7206,6.7526,6.6966,6.6566,6.6726
0.0025979999999999996,6.7126,6.7606,6.6966,6.6566,6.6566
0.0025989999999999997,6.7206,6.7446,6.6966,6.6486,6.6566
0.0026,6.7206,6.7366,6.6966,6.6566,6.6486
0.002601,6.7126,6.7446,6.6966,6.6726,6.6646
0.002602,6.7046,6.7446,6.7046,6.6566,6.6646
0.0026030000000000003,6.7286,6.7446,6.7046,6.6646,6.6646
0.0026039999999999995,6.7206,6.7606,6.7046,6.6726,6.6646
0.0026049999999999997,6.7126,6.7606,6.7046,6.6566,6.6646
0.002606,6.7366,6.7606,6.7126,6.6646,6.6566
0.002607,6.7126,6.7606,6.7046,6.6806,6.6646
0.002608,6.7206,6.7686,6.7126,6.6726,6.6566
0.002609,6.7206,6.7606,6.7046,6.6726,6.6646
0.0026099999999999995,6.7286,6.7606,6.7206,6.6726,6.6726
0.0026109999999999996,6.7286,6.7686,6.7206,6.6646,6.6646
0.0026119999999999997,6.7366,6.7766,6.7206,6.6726,6.6726
0.002613,6.7446,6.7686,6.7286,6.6886,6.6886
0.002614,6.7446,6.7686,6.7286,6.6806,6.6886
0.002615,6.7446,6.7846,6.7286,6.6886,6.6886
0.0026160000000000003,6.7446,6.7846,6.7446,6.6966,6.6886
0.0026169999999999995,6.7446,6.7766,6.7366,6.6886,6.6806
0.0026179999999999997,6.7606,6.7846,6.7286,6.7046,6.7046
0.002619,6.7526,6.7926,6.7526,6.7126,6.7046
0.00262,6.7686,6.7926,6.7606,6.7206,6.6886
0.002621,6.7686,6.7926,6.7446,6.7206,6.7126
0.002622,6.7846,6.7926,6.7446,6.7286,6.7046
0.0026229999999999995,6.7766,6.7926,6.7686,6.7286,6.7126
0.0026239999999999996,6.7846,6.8086,6.7686,6.7206,6.7046
0.0026249999999999997,6.7846,6.8326,6.7766,6.7286,6.7126
0.002626,6.7926,6.8326,6.7766,6.7366,6.7366
0.002627,6.7846,6.8246,6.7846,6.7366,6.7366
0.002628,6.8006,6.8406,6.7846,6.7526,6.7446
0.0026290000000000003,6.7926,6.8406,6.7926,6.7526,6.7446
0.0026299999999999995,6.8086,6.8566,6.7926,6.7446,6.7446
0.0026309999999999997,6.8166,6.8406,6.7926,6.7606,6.7446
0.002632,6.8006,6.8486,6.8006,6.7686,6.7606
0.002633,6.8326,6.8486,6.8006,6.7686,6.7606
0.002634,6.8326,6.8646,6.8086,6.7766,6.7686
0.002635,6.8326,6.8726,6.8246,6.7846,6.7766
0.0026359999999999995,6.8326,6.8646,6.8086,6.7846,6.7766
0.0026369999999999996,6.8326,6.8726,6.8166,6.7926,6.7846
0.0026379999999999997,6.8406,6.8726,6.8406,6.7846,6.7846
0.002639,6.8486,6.8806,6.8406,6.7926,6.7926
0.00264,6.8486,6.8966,6.8406,6.8086,6.7926
0.002641,6.8566,6.8886,6.8406,6.8166,6.7926
0.0026420000000000003,6.8566,6.8886,6.8486,6.7926,6.8086
0.0026429999999999995,6.8646,6.9046,6.8646,6.8086,6.8086
0.0026439999999999996,6.8646,6.9046,6.8566,6.8166,6.8166
0.0026449999999999998,6.8886,6.9046,6.8566,6.8246,6.8166
0.002646,6.8726,6.9206,6.8646,6.8166,6.8166
0.002647,6.8886,6.9126,6.8646,6.8326,6.8166
0.002648,6.8966,6.9046,6.8886,6.8246,6.8406
